author,text,published_at,likes
@fleece96,"Not a big fan of Christmas adverts and all that stuff, but John Lewis... offt got my heartstrings x",2025-11-04T17:29:35Z,1
@jamestaylor3836,At last a decent advert. Well done John Lewis👌,2025-11-04T17:28:34Z,1
@tonyg4538,Best ever JL ad and no one else is going to be able to top that ad this Xmas.,2025-11-04T17:26:37Z,70
@kaystar1844,Its great to see finally fathers being represented as a figure who also deserves love just as much as mothers. They matter too❤,2025-11-04T17:20:01Z,1083
@tinamartin8890,The advert could have hit so much harder with a better song. In my opinion,2025-11-04T17:18:27Z,1
@rebeccacorrigan9142,Americans,2025-11-04T17:12:18Z,0
@ShabbaNasty,Finally a decent one! More emotional and less gimmicky,2025-11-04T17:10:18Z,0
@Paddy-p2g,CHOON!,2025-11-04T17:04:48Z,0
@paulpotter8466,Best ad ever well done,2025-11-04T17:04:02Z,0
@annac8228,Thought the ad was naff til reading the comments,2025-11-04T16:54:40Z,0
@lesgutsche6279,Beautiful. ❤,2025-11-04T16:47:15Z,1
@charlottezablocki818,Beautiful advert ❤,2025-11-04T16:46:08Z,1
@kellieb3117,Nailed it 👌🏼👌🏼👌🏼 best one yet John Lewis,2025-11-04T16:42:09Z,4
@robbymacbeath,"A strong, simple but effective message ”if you can’t find the words, find the gift“. No frills advertising and John Lewis going back to the basics, at long last!  🎄
Well done team, from a raver Dad with a misspent youth 😲",2025-11-04T16:34:50Z,1
@Gaf68TV,"Excellent advert, congratulations John Lewis",2025-11-04T16:34:25Z,8
@trudig4258,That's me and my girls (friends since childhood) tune! ❤️,2025-11-04T16:30:33Z,1
@glenr4026,Don’t do drugs I think is the message,2025-11-04T16:29:16Z,5
@darreno2428,This is me and my son 100%. This was the tune of my raving youth. I often go into day dreams like that when listening to it. Watching this made me cry.,2025-11-04T16:25:16Z,2
@amysergenson482,This is beautiful ❤❤,2025-11-04T16:23:28Z,0
@jonwiganrobby,I'm getting sixth sense vibes... hope I'm wrong,2025-11-04T16:22:42Z,0
@neilhastie6283,It’s a winner!!,2025-11-04T16:19:52Z,0
@ghosthorse77,"What a load of rubbish! The comments below, bots, AI, and paid comments. People I read have all said how bad it is, and I agree.",2025-11-04T16:12:07Z,2
@supermariobruvva,We all saw Aftersun,2025-11-04T16:06:08Z,0
@theromanceofwax,This mofucker made me cry my eyes out. My sons love house music just like me. Cant wait till we can experience it all together,2025-11-04T16:04:49Z,2
@markrooney3790,"Not a bad try, but still has nothing on Kevin the Carrot.🥕",2025-11-04T16:00:58Z,2
@Philosoph-ali,I’ve got access to the kids but they don’t wanna see me,2025-11-04T15:59:56Z,1
@Ftanftangfnarrr,Did the daughter buy the pills to go with it?,2025-11-04T15:55:43Z,1
@familyadventuredays1203,Research Please? I’d love to see some research how brands spending tens of millions on these Xmas adverts gets people in the store? If you shop at John Lewis you already shop there or go in for a product… these generic brand adverts don’t make me want to go shop in John Lewis. If they said we have this product and it’s £20 cheaper then Argos I’d go in,2025-11-04T15:53:40Z,1
@sarahsselection,"Love John Lewis, dislike this advert 😂",2025-11-04T15:46:14Z,3
@FoxM,Definitely got inspiration from the movie Aftersun with Paul Mescal,2025-11-04T15:43:57Z,2
@pwizzle1212,This is just lifted from a scene in Aftersun.,2025-11-04T15:40:37Z,18
@roberttotten8874,I do miss my old club days but what I have now with my family/son is worth so much more. Lovely advert recognising love between a father and son ❤,2025-11-04T15:38:55Z,3
@andrewallsop7856,I thought it gave the impression he was blind ?,2025-11-04T15:37:03Z,0
@robcramlington8262,Brilliant,2025-11-04T15:29:05Z,0
@StumpyHead79,Brilliant add,2025-11-04T15:27:51Z,0
@JeremyWithers1,"This feels very heavily inspired by the film Aftersun. It's a masterpiece and if you are reading this comment, do yourself a favour and go watch it.",2025-11-04T15:26:02Z,2
@Macphisto77,Shame your newspaper completely slated it.  After reading your article you should be ashamed of yourselves.,2025-11-04T15:24:56Z,1
@yougiveloveabadname2,Best Christmas advert ever,2025-11-04T15:20:00Z,1
@danmullins890,What merch is John Lewis gonna tie in with this? Half a dove and a bottle of water gift pack? 💊,2025-11-04T15:19:46Z,2
@francescakerr8433,My baby was born on Christmas Eve 2024. This has been the best year of my life. It’s going way to quick though. This got me ❤️,2025-11-04T15:18:47Z,3
@anne-marie2407,I LOVE LOVE LOVE IT ❤❤❤❤❤,2025-11-04T15:11:41Z,0
@mattdedasc,This was great. A bit shocked to see a white British family celebrating traditional things with a very relatable story. Well done. Well done,2025-11-04T15:09:50Z,3
@Gullsz,"What’s ya name, where ya from, wot ya on.",2025-11-04T15:06:08Z,0
@jacobrist5537,Anyone know what the blue sweater is?,2025-11-04T15:04:34Z,0
@pierre4771,Superb advert,2025-11-04T15:04:21Z,0
@AlisonMoore-x3h,What a blast from my past.  Love that this song will be everywhere now 🎵,2025-11-04T14:58:53Z,0
@krisgater6891,Another unrealistic cheesy advert thought up by college graduates with issues..,2025-11-04T14:55:48Z,1
@AnthonyGoodwin-hl3ft,Brilliant advert,2025-11-04T14:55:30Z,0
@dietchipsacro7077,"Brilliant advert and very relatable, I was expecting something awful after reading what  The Guardian writer Stuart Heritage wrote about it. If you can't find this moving and endearing, I actually feel sorry for you, as you have had something missing in your early and later life.",2025-11-04T14:48:31Z,3
@426john,Wow !!  A White family !,2025-11-04T14:45:57Z,4
@psrpippy,Absolutely guarantee this will be back in the charts by December.  A Christmas number 1 I hope.,2025-11-04T14:42:06Z,44
@jakkiglasgow8635,Memories  are what make cry x,2025-11-04T14:32:48Z,1
@JennaLeeAnderson,This is a fantastic ad. Well done 🎉,2025-11-04T14:22:54Z,0
@CUSTARDMIKE,Middle aged white man being portrayed in a positive light! That’s Gary Neville’s custom John Lewis have lost.,2025-11-04T14:22:54Z,0
@BRFCBlueWhiteArmy,"LOVE THIS. 
One for the Dads
One for the lads that found love in the club and kids
We never grow out of that feeling 🎶",2025-11-04T14:22:13Z,12
@blujez,"CALL THE COPS, DAD'S OFF HIS CHOPS",2025-11-04T14:11:49Z,20
@alexandrerrobinson6720,Tune 👌🏾👌🏾👌🏾👌🏾,2025-11-04T14:11:27Z,1
@Coach_luciamizzoni,Absolutely love this! Probably the best ad ever watched!! Cried so much watching it! My son is 17 and my husband is such an amazing dad! He teared up too! ❤❤❤❤❤❤❤❤❤❤❤,2025-11-04T14:01:52Z,18
@Daz-jw9sn,Someone explain what the advert is ? I’m a dad and grandad and this tune is unreal BTW.. but I’m getting mixed feelings about it ❤,2025-11-04T13:57:13Z,0
@Daz-jw9sn,What a tune 🎵,2025-11-04T13:53:24Z,3
@joanne42-l55,I think is the best advert I've watched in a long time. Not just christmas advert the best advert.,2025-11-04T13:38:39Z,169
@davidhazell2129,"Best Christmas ad for a very very long time well done, John Lewis",2025-11-04T13:36:49Z,3
@3boysproud,Brilliant best house music tune EVER,2025-11-04T13:35:15Z,1
@hayleydavenport7913,"Definitely gone in on a certain audience, let’s hope it’s not too upsetting for a lot of children out there 😬 and it hits where it should 🙏 … merry Christmas 🎄",2025-11-04T13:33:54Z,2
