author,text,published_at,likes,clean_text
@paul3962,"Do John Lewis sell 12""vinyls?",2025-11-05 19:42:11+00:00,0,"do john lewis sell 12""vinyls?"
@GosiaKonieczna-y9e,It's not just Fathers and Sons.... It's a full family Ladies and Gentlemen!!! ( and please don't give me : they may be a patchwork one 🙄🤪)!,2025-11-05 19:39:08+00:00,0,it's not just fathers and sons.... it's a full family ladies and gentlemen!!! ( and please don't give me : they may be a patchwork one 🤪)!
@sandracheetham4205,What a load of rubbish better to give the money to charity,2025-11-05 19:27:59+00:00,1,what a load of rubbish better to give the money to charity
@Lukey-jy4ez,Nice ❤,2025-11-05 19:25:57+00:00,0,nice
@Simon-e23,That doesn't look like any club I was going to in '91/'92. Wonder if the son was an E baby.,2025-11-05 19:21:40+00:00,0,that doesn't look like any club i was going to in '91/'92. wonder if the son was an e baby.
@BertieRude,As a father of a son who raved hard in the 90s this hit hard. Tears streaming,2025-11-05 19:08:33+00:00,6,as a father of a son who raved hard in the 90s this hit hard. tears streaming
@Dannymorgan357,Love it 👌🏼 spot on John Lewis. You Nailed it!,2025-11-05 19:08:12+00:00,0,love it spot on john lewis. you nailed it!
@T8N4,More of this please 🙏 😢 ❤,2025-11-05 19:03:23+00:00,2,more of this please
@Treclomer,Aftersun,2025-11-05 18:58:37+00:00,0,aftersun
@Le4befar,"Before blair and the Internet destroyed the fabric of society. 

John Lewis mourning the 90s.

Still time.......",2025-11-05 18:51:23+00:00,1,before blair and the internet destroyed the fabric of society. john lewis mourning the 90s. still time.......
@charlotte_talks,Anyone who loved this needs to watch the film Aftersun that this has been inspired by,2025-11-05 18:38:48+00:00,0,anyone who loved this needs to watch the film aftersun that this has been inspired by
@tomclarke8801,This is beautiful made me cry an pick up little boy an tell him I love him,2025-11-05 18:38:05+00:00,0,this is beautiful made me cry an pick up little boy an tell him i love him
@enricopolsinelli4929,This is a Gen x Advert for Christmas.,2025-11-05 18:27:10+00:00,0,this is a gen x advert for christmas.
@andykelly9108,Absolutely brilliant.  ✊️✊️,2025-11-05 18:23:44+00:00,0,absolutely brilliant.
@carolinereeve7927,"Really beautiful ❤ it put tears in my eyes, really triggered memories of my son when he was little & also my own dad who I have lost 💔",2025-11-05 18:22:42+00:00,2,"really beautiful it put tears in my eyes, really triggered memories of my son when he was little & also my own dad who i have lost"
@JasperWitt42,I cried,2025-11-05 18:21:39+00:00,0,i cried
@jessicastark4811,Love this,2025-11-05 18:10:07+00:00,0,love this
@lugsi1,Oh wow. What a beautiful advert this year,2025-11-05 18:09:57+00:00,0,oh wow. what a beautiful advert this year
@Cxrxlyn.x,"Best John Lewis Christmas ad in a long, long time 🎁",2025-11-05 18:04:55+00:00,22,"best john lewis christmas ad in a long, long time"
@ReviewsWithAlex1,The world needed this advert,2025-11-05 18:01:54+00:00,46,the world needed this advert
@JamieTonnes-k4b,Best John Lewis Advert 🎉,2025-11-05 17:56:50+00:00,0,best john lewis advert
@taranwiseman5409,"It isn't easy being a working class, middle aged dad in 2025. I think every one of us 40 and over can deeply appreciate this wonderful ad.",2025-11-05 17:56:26+00:00,0,"it isn't easy being a working class, middle aged dad in 2025. i think every one of us 40 and over can deeply appreciate this wonderful ad."
@kevanblue,As a dad this is beautiful ❤,2025-11-05 17:43:19+00:00,0,as a dad this is beautiful
@kittyroo-x4p,Thats beautiful. Made me cry. ,2025-11-05 17:37:11+00:00,0,thats beautiful. made me cry.
@deanedgy4205,🥲 right in the feels!,2025-11-05 17:35:12+00:00,0,🥲 right in the feels!
@Simonjblake,At first I thought cringe.   Then it worked…..,2025-11-05 17:31:52+00:00,0,at first i thought cringe. then it worked…..
@jimloogmusic9964,Wow what a powerful video,2025-11-05 17:17:07+00:00,0,wow what a powerful video
@JonVoid37,BBC would never show this. 🤤,2025-11-05 17:16:54+00:00,1,bbc would never show this. 🤤
@leegrainger4520,Deep! Hard to watch and not reflect on yourself!!,2025-11-05 17:16:24+00:00,0,deep! hard to watch and not reflect on yourself!!
@mattrusse,Am i missing something???,2025-11-05 17:06:47+00:00,1,am i missing something???
@VR-mq3jt,The Guardian journalists will be foaming at the mouth that this masterpiece doesn't feature nauseating WOKERY hahahaha! 🤣🤣🤣,2025-11-05 17:03:34+00:00,14,the guardian journalists will be foaming at the mouth that this masterpiece doesn't feature nauseating wokery hahahaha! 🤣🤣🤣
@treasurecompanion,Oh wow what a beautiful and  poignant advert with genuine love and nostalgia. Something we are all craving now for times like the 80’s and 90’s. Respect John Lewis . I will be purchasing from you . Thank you 🎉,2025-11-05 16:57:24+00:00,1,oh wow what a beautiful and poignant advert with genuine love and nostalgia. something we are all craving now for times like the 80’s and 90’s. respect john lewis . i will be purchasing from you . thank you
@casualbreakin,Does he not own a phone/tele/computer?   Is this care in the community for an old raver?   It sucks as nostalgia,2025-11-05 16:55:22+00:00,0,does he not own a phone/tele/computer? is this care in the community for an old raver? it sucks as nostalgia
@davidsmerdon5,Ticks one box that really matters and thankfully avoids all the ones that don’t. Wonderful.,2025-11-05 16:39:38+00:00,34,ticks one box that really matters and thankfully avoids all the ones that don’t. wonderful.
